pmid	title	abstract	authors	journal	pub_date	doi	keywords	mesh_terms	pub_types
33629860	Micro- and Nanoencapsulated Hybrid Delivery System (MNEHDS): a novel approach for colon-targeted oral delivery of Berberine					10.1021/acs.molpharmaceut.0c00970			
32629765	Interpolymer complexes of eudragit® copolymers as novel carriers for colon-specific drug delivery					10.3390/polym12071459			
38394624	Exosomes: a cutting-edge theranostics tool for oral cancer					10.1021/acsabm.3c01243			
	Study of a delayed-release system for hard and soft capsules coated with eudragit® s100 acrylic polymers								
32244441	In vitro characterization, modelling, and antioxidant properties of polyphenon-60 from green tea in Eudragit S100-2 Chitosan Microspheres					10.3390/nu12040967			
36234976	pH-responsive inorganic/organic nanohybrids system for controlled nicotinic acid drug release					10.3390/molecules27196439			
37102876	Development of novel pH-sensitive eudragit coated beads containing curcumin-mesalamine combination for colon-specific drug delivery					10.3390/gels9040264			
33303818	Surface functionalisation of poly-APO-b-polyol ester cross-linked copolymers as core–shell nanoparticles for targeted breast cancer therapy					10.1038/s41598-020-78601-x			
32793481	Theranostic pretargeting drug delivery and imaging platforms in cancer precision medicine					10.3389/fonc.2020.01131			
32476279	Inorganic porous nanoparticles for drug delivery in antitumoral therapy					10.1002/biot.202000150			
36826854	Polysaccharide-based hydrogels and their application as drug delivery systems in cancer treatment: a review					10.3390/jfb14020055			
33233413	Cellulose-based hydrogels as sustained drug-delivery systems					10.3390/ma13225270			
36053489	Cell-membrane-anchored DNA logic-gated nanoassemblies for in situ extracellular bioimaging					10.1021/acsami.2c13735			
36253586	Combination cancer treatment: using engineered DNAzyme molecular machines for dynamic inter- and intracellular regulation					10.1002/anie.202210935			
	An electrochemical and raman scattering dual detection biosensor for rapid screening and biomolecular profiling of cancer biomarkers								
33225707	A carbon-based DNA framework nano–bio interface for biosensing with high sensitivity and a high signal-to-noise ratio					10.1021/acssensors.0c01745			
37410886	Light-driven and metal–organic framework synergetic loaded DNA tetrahedral amplifier for Exonuclease III-powered all-in-one biosensing and chemotherapy in live biosystems					10.1021/acsami.3c06626			
37955317	Aptamer-assisted blockade of the immune suppressor sialic acid-binding immunoglobulin-Like Lectin-15 for cancer immunotherapy					10.1002/anie.202312609			
34452182	Aptamers with self-loading drug payload and ph-controlled drug release for targeted chemotherapy					10.3390/pharmaceutics13081221			
	Cascade-Responsive “Oxidative Stress Amplifiers” Simultaneously Destroy Lysosomes and Co-Deliver CRISPR/Cas9 to Enhance Oxidative Damage in Tumor								
32995132	A Lactose-Derived CRISPR/Cas9 delivery system for efficient genome editing in vivo to treat orthotopic hepatocellular carcinoma					10.1002/advs.202001424			
38053293	Highly efficient genome editing via CRISPR-Cas9 ribonucleoprotein (RNP) delivery in mesenchymal stem cells					10.5483/BMBRep.2023-0113			
32591530	Systemic nanoparticle delivery of CRISPR-Cas9 ribonucleoproteins for effective tissue specific genome editing					10.1038/s41467-020-17029-3			
31941712	Near-infrared optogenetic engineering of photothermal nanoCRISPR for programmable genome editing					10.1073/pnas.1912220117			
	A Novel CRISPR/Cas9-encapsulated biomimetic manganese sulfide nanourchins for targeted magnetic resonance contrast enhancement and self-enhanced chemodynamics-gene-immune synergistic tumor therapy								
	Morphology dependence in photothermal heating of gold nanomaterials with near-infrared laser								
35396932	Advanced iron oxide nanotheranostics for multimodal and precision treatment of pancreatic ductal adenocarcinoma					10.1002/wnan.1793			
35749223	pH-activatable organic nanoparticles for efficient low-temperature photothermal therapy of ocular bacterial infection					10.1021/acsnano.2c03971			
38396695	Size dependence of gold nanorods for efficient and rapid photothermal therapy					10.3390/ijms25042018			
37183575	Lipid-, Inorganic-, Polymer-, and DNA-based nanocarriers for delivery of the CRISPR/Cas9 system					10.1002/cbic.202300180			
35040621	Smart Strategies for Precise Delivery of CRISPR/Cas9 in Genome Editing					10.1021/acsabm.1c01112			
33759340	Active delivery of CRISPR system using targetable or controllable nanocarriers					10.1002/smll.202005222			
	Development of delivery strategies for CRISPR-Cas9 genome editing								
33492127	DNA-assisted smart nanocarriers: progress, challenges, and opportunities					10.1021/acsnano.0c08905			
37388221	The use of plant-derived exosome-like nanoparticles as a delivery system of CRISPR/Cas9-based therapeutics for editing long non-coding RNAs in cancer colon cells					10.3389/fonc.2023.1194350			
34298610	DNA-based and stimuli-responsive smart nanocarrier for diagnosis and treatment of cancer: applications and challenges					10.3390/cancers13143396			
37744010	Comparison of wavelength-dependent penetration depth of 532 nm and 660 nm lasers in different tissue types					10.34172/jlms.2023.28			
41002670	Absorption, Thermal relaxation time, and beam penetration depth of laser wavelengths in ex vivo porcine gingival tissues					10.3390/dj13090397			
33332127	Highly efficient photothermal therapy with cell-penetrating peptide-modified bumpy au triangular nanoprisms using low laser power and low probe dose					10.1021/acs.nanolett.0c04386			
37079477	A Gas/phototheranostic Nanocomposite Integrates NIR-II-Peak Absorbing Aza-BODIPY with thermal-sensitive nitric oxide donor for atraumatic Osteosarcoma Therapy					10.1002/adma.202301901			
36000986	Combining Radiotherapy (RT) and Photodynamic Therapy (PDT): Clinical Studies on Conventional RT-PDT Approaches and Novel Nanoparticle-Based RT-PDT approaches under preclinical evaluation					10.1021/acsbiomaterials.2c00287			
39992813	Photothermal-therapy-based targeting thrombolytic therapy					10.1021/acsabm.4c01820			
32574106	Concomitant medications and immune checkpoint inhibitor therapy for cancer: causation or association? Hum Vaccines Immunother					10.1080/21645515.2020.1769398			
40566067	The role of immunotherapy and immune modulators in hormone-positive breast cancer: implications for localized and metastatic disease					10.3390/jcm14124322			
36591450	Hypoxia-responsive nanomaterials for tumor imaging and therapy					10.3389/fonc.2022.1089446			
35014468	Multifunctional magnetic nanoagents for bioimaging and therapy					10.1021/acsabm.0c01099			
35918694	Stimuli-responsive nanoformulations for CRISPR-Cas9 genome editing					10.1186/s12951-022-01570-y			
35170876	Biodegradable Nanoprobe for NIR-II fluorescence image-guided surgery and enhanced breast cancer radiotherapy efficacy					10.1002/advs.202104728			
	Biodegradable silica-based nanoparticles with improved and safe delivery of Protoporphyrin IX for the in vivo photodynamic therapy of breast cancer								
	Magnetic-activated nanosystem with liver-specific CRISPR nonviral vector to achieve spatiotemporal liver genome editing as Hepatitis B Therapeutics								
	Advances in Nanocarriers for Delivering Therapeutic Agents Against Hepatitis B Virus								
38735921	Surface ligand-regulated renal clearance of MRI/SPECT dual-modality nanoprobes for tumor imaging					10.1186/s12951-024-02516-2			
	In vitro release mechanism and cytotoxic behavior of curcumin loaded casein nanoparticles								
36483767	CRISPR/Cas systems: Delivery and application in gene therapy					10.3389/fbioe.2022.942325			
40806525	A Narrative Review of Theranostics in Neuro-Oncology: Advancing Brain Tumor Diagnosis and Treatment Through Nuclear Medicine and Artificial Intelligence					10.3390/ijms26157396			
39460975	Langmuir (					10.1021/acs.langmuir.4c03513			
34302274	Current hurdles to the translation of nanomedicines from bench to the clinic					10.1007/s13346-021-01024-2			
34069606	Enhancing clinical translation of cancer using nanoinformatics					10.3390/cancers13102481			
35336035	Smart injectable chitosan hydrogels loaded with 5-fluorouracil for the treatment of breast cancer					10.3390/pharmaceutics14030661			
36100592	Self-assembled liquid crystal architectures for soft matter photonics					10.1038/s41377-022-00930-5			
	Needle scattered light guided chiplets-interfaced with AI for advanced biomedical application								
37742067	Photoacoustic imaging endometriosis lesions with nanoparticulate polydopamine as a contrast agent					10.1002/adhm.202302175			
40772340	Artificial intelligence-driven nanoarchitectonics for smart targeted drug delivery					10.1002/adma.202510239			
34076797	Non-viral vectors in gene therapy: recent development, challenges, and prospects					10.1208/s12248-021-00608-7			
33391496	Strategies in the delivery of Cas9 ribonucleoprotein for CRISPR/Cas9 genome editing					10.7150/thno.47007			
33558455	Viral vector platforms within the gene therapy landscape					10.1038/s41392-021-00487-6			
36646687	CRISPR/Cas9 therapeutics: progress and prospects					10.1038/s41392-023-01309-7			
33748164	CRISPR/Cas: advances, limitations, and applications for precision cancer research					10.3389/fmed.2021.649896			
39680881	Near-infrared optogenetic nanosystem for spatiotemporal control of CRISPR-Cas9 gene editing and synergistic photodynamic therapy					10.1021/acsami.4c18656			
34304566	Polymer-functionalized upconversion nanoparticles for light/imaging-guided drug delivery					10.1021/acs.biomac.1c00669			
36593512	A multilayered mesoporous gold nanoarchitecture for ultraeffective near-infrared light-controlled chemo/photothermal therapy for cancer guided by SERS Imaging					10.1002/smll.202206762			
36497219	Nanoplasmonics enabling cancer diagnostics and therapy					10.3390/cancers14235737			
	Light-induced dynamic assembly of gold nanoparticles in a lab-on-fiber platform for surface-enhanced raman scattering detection								
35189910	Current applications and future perspective of CRISPR/Cas9 gene editing in cancer					10.1186/s12943-022-01518-8			
36839113	Light-induced clusterization of gold nanoparticles: a new photo-triggered antibacterial against E. coli proliferation					10.3390/nano13040746			
38147641	A mitochondria-targeted NIR-II molecule fluorophore for precise cancer phototheranostics					10.1021/acs.jmedchem.3c01677			
34463488	Smart MSN-drug-delivery system for tumor cell targeting and tumor microenvironment release					10.1021/acsami.1c14189			
36786439	Biodegradable nanomaterials for diagnosis and therapy of tumors					10.1039/d2tb02591d			
37381671	Engineered Collaborative Size Regulation and Shape Engineering of Tremella-Like Au-MnOx for Highly Sensitive Bimodal-Type Lateral Flow Immunoassays					10.1002/smll.202301598			
40160040	Advancing CRISPR genome editing into gene therapy clinical trials: progress and future prospects					10.1017/erm.2025.10			
35910792	Co-delivery of phagocytosis checkpoint and STING agonist by a Trojan horse nanocapsule for orthotopic glioma immunotherapy					10.7150/thno.73104			
38185685	Nanomaterial-encapsulated STING agonists for immune modulation in cancer therapy					10.1186/s40364-023-00551-z			
36596787	Neoadjuvant therapy with immune checkpoint blockade, antiangiogenesis, and chemotherapy for locally advanced gastric cancer					10.1038/s41467-022-35431-x			
	Current status and perspectives of gene therapy in the treatment of haematological cancers								
35456655	Targeted liposomes: a nonviral gene delivery system for cancer therapy					10.3390/pharmaceutics14040821			
39871848	Enhancing precision in cancer treatment: the role of gene therapy and immune modulation in oncology					10.3389/fmed.2024.1527600			
36840641	Carbon dots with guanidinium and amino acid functional groups for targeted small interfering RNA delivery toward tumor gene therapy					10.1002/smll.202207204			
37354071	J Gene Med					10.1002/jgm.3550			
34769370	Gene therapy targeting p53 and kras for colorectal cancer treatment: A myth or the way forward? Int J Mol Sci					10.3390/ijms222111941			
	Gene therapy for the cancer treatment								
	Research on the gene therapy and prevention of lung cancer								
35620343	CRISPER/CAS system, a novel tool of targeted therapy of drug- resistant lung cancer					10.34172/apb.2022.027			
	New treatment strategy for ovarian cancer with a BRCA gene mutation								
33435440	Molecular epidemiology of the main druggable genetic alterations in non-small cell lung cancer					10.3390/ijms22020612			
40964450	Targeted Therapy in Non-Muscle Invasive Bladder Cancer-Clinical Updates					10.33696/pharmacol.6.056			
	Gene therapy: recent advancement and challenges								
40733067	Application of gene therapy to oral diseases					10.3390/pharmaceutics17070859			
38870301	In vivo editing of lung stem cells for durable gene correction in mice					10.1126/science.adk9428			
39018097	Regulatory considerations for genome-edited T-cell therapies					10.1158/2326-6066.CIR-24-0482			
33024818	A 70-gene signature for predicting treatment outcome in advanced-stage cervical cancer					10.1016/j.omto.2020.09.001			
31756402	Inhibition of base excision repair by natamycin suppresses prostate cancer cell proliferation					10.1016/j.biochi.2019.11.008			
									
